word count,Sentence,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18
1,魚。,"魚, fish",,,,,,,,,,,,,,,,,
1,金！,"金, money",,,,,,,,,,,,,,,,,
1,九。,"九, nine",,,,,,,,,,,,,,,,,
1,空！,"空, the sky",,,,,,,,,,,,,,,,,
1,君！,"君, Mr./Ms. . . . (casual)",,,,,,,,,,,,,,,,,
1,月！,"月, moon
month",,,,,,,,,,,,,,,,,
1,犬！,"犬, dog",,,,,,,,,,,,,,,,,
1,鍵！,"鍵, lock; key",,,,,,,,,,,,,,,,,
1,戸。,"戸, door (Japanese style)",,,,,,,,,,,,,,,,,
1,湖！,"湖, lake",,,,,,,,,,,,,,,,,
1,五。,"五, five",,,,,,,,,,,,,,,,,
1,後。,"後, back, rear, after, later, the rest
in . . . time; after . . .
",,,,,,,,,,,,,,,,,
1,国。,"国, country",,,,,,,,,,,,,,,,,
1,今！,"今, now, at present, just now, soon",,,,,,,,,,,,,,,,,
1,混。,"混, to get crowded",,,,,,,,,,,,,,,,,
1,左！,"左, left hand side",,,,,,,,,,,,,,,,,
1,座。,"座, to sit",,,,,,,,,,,,,,,,,
1,桜！,"桜, cherry blossom",,,,,,,,,,,,,,,,,
1,皿。,"皿, plate; dish",,,,,,,,,,,,,,,,,
1,三！,"三, three",,,,,,,,,,,,,,,,,
1,傘！,"傘, umbrella",,,,,,,,,,,,,,,,,
1,山。,"山, (1) mountain/(2) pile/heap/(3) climax/critical point",,,,,,,,,,,,,,,,,
1,四！,"四, four",,,,,,,,,,,,,,,,,
1,姉。,"姉, elder sister",,,,,,,,,,,,,,,,,
1,死！,"死, to die",,,,,,,,,,,,,,,,,
1,私！,"私, I",,,,,,,,,,,,,,,,,
1,紙。,"紙, paper",,,,,,,,,,,,,,,,,
1,紫！,"紫, purple",,,,,,,,,,,,,,,,,
1,詩！,"詩, poem",,,,,,,,,,,,,,,,,
1,時！,"時, when . . . ; at the time of . . .
o'clock",,,,,,,,,,,,,,,,,
1,耳！,"耳, ear",,,,,,,,,,,,,,,,,
1,鹿。,"鹿, deer",,,,,,,,,,,,,,,,,
1,七！,"七, seven",,,,,,,,,,,,,,,,,
1,手！,"手, hand",,,,,,,,,,,,,,,,,
1,酒！,"酒, sake; alcohol",,,,,,,,,,,,,,,,,
1,首！,"首, neck",,,,,,,,,,,,,,,,,
1,秋！,"秋, autumn, fall",,,,,,,,,,,,,,,,,
1,十！,"十, ten",,,,,,,,,,,,,,,,,
1,出。,"出, to put out, to send
to appear, to come forth, to leave",,,,,,,,,,,,,,,,,
1,春。,"春, spring",,,,,,,,,,,,,,,,,
1,所。,"所, place",,,,,,,,,,,,,,,,,
1,女！,"女, woman, female",,,,,,,,,,,,,,,,,
1,象。,"象, elephant",,,,,,,,,,,,,,,,,
1,上。,"上, up, upward, above, top, higher, superior, older",,,,,,,,,,,,,,,,,
1,城。,"城, castle",,,,,,,,,,,,,,,,,
1,寝。,"寝, to sleep, to lie down",,,,,,,,,,,,,,,,,
1,心！,"心, mind; heart",,,,,,,,,,,,,,,,,
1,親。,"親, parent",,,,,,,,,,,,,,,,,
1,人！,"人, man/person/human being/mankind/people/character/personality/true man/man of talent/adult/other people/messenger/visitor",,,,,,,,,,,,,,,,,
1,水！,"水, water",,,,,,,,,,,,,,,,,
1,声！,"声, voice",,,,,,,,,,,,,,,,,
1,雪！,"雪, snow",,,,,,,,,,,,,,,,,
1,船！,"船, ship; boat",,,,,,,,,,,,,,,,,
1,窓！,"窓, window",,,,,,,,,,,,,,,,,
1,体？,"体, body",,,,,,,,,,,,,,,,,
1,男。,"男, man, male",,,,,,,,,,,,,,,,,
1,池。,"池, pond, pool, basin",,,,,,,,,,,,,,,,,
1,竹！,"竹, bamboo",,,,,,,,,,,,,,,,,
1,茶！,"茶, green tea",,,,,,,,,,,,,,,,,
1,昼。,"昼, noon/daytime",,,,,,,,,,,,,,,,,
1,虫？,"虫, insect",,,,,,,,,,,,,,,,,
1,朝。,"朝, morning",,,,,,,,,,,,,,,,,
1,鳥！,"鳥, bird, fowl, poultry",,,,,,,,,,,,,,,,,
1,弟。,"弟, younger brother",,,,,,,,,,,,,,,,,
1,天！,"天, the heavens; the sky",,,,,,,,,,,,,,,,,
1,渡。,"渡, to pass over, to hand over",,,,,,,,,,,,,,,,,
1,怒？,"怒, to get angry",,,,,,,,,,,,,,,,,
1,冬！,"冬, winter",,,,,,,,,,,,,,,,,
1,頭！,"頭, head, brains",,,,,,,,,,,,,,,,,
1,道！,"道, road/street/way/method",,,,,,,,,,,,,,,,,
1,曇。,"曇, to become cloudy/dim",,,,,,,,,,,,,,,,,
1,二！,"二, two",,,,,,,,,,,,,,,,,
1,猫。,"猫, cat",,,,,,,,,,,,,,,,,
1,背。,"背, height, stature",,,,,,,,,,,,,,,,,
1,泊。,"泊, . . . nights",,,,,,,,,,,,,,,,,
1,畑。,"畑, farm",,,,,,,,,,,,,,,,,
1,八！,"八, eight",,,,,,,,,,,,,,,,,
1,彼！,"彼, he; boyfriend",,,,,,,,,,,,,,,,,
1,百！,"百, 100/hundred",,,,,,,,,,,,,,,,,
1,表。,"表, to express; to show",,,,,,,,,,,,,,,,,
1,父。,"父, father (humble)",,,,,,,,,,,,,,,,,
1,風！,"風, wind, breeze",,,,,,,,,,,,,,,,,
1,変？,"変, strange; unusual",,,,,,,,,,,,,,,,,
1,母！,"母, mother",,,,,,,,,,,,,,,,,
1,北！,"北, north",,,,,,,,,,,,,,,,,
1,僕！,"僕, I (used by men)",,,,,,,,,,,,,,,,,
1,本。,"本, book
[counter for long objects]",,,,,,,,,,,,,,,,,
1,妹！,"妹, younger sister",,,,,,,,,,,,,,,,,
1,夢！,"夢, dream",,,,,,,,,,,,,,,,,
1,娘！,"娘, daughter",,,,,,,,,,,,,,,,,
1,夜。,"夜, evening/night",,,,,,,,,,,,,,,,,
1,卵。,"卵, spawn, eggs, roe",,,,,,,,,,,,,,,,,
1,六。,"六, six",,,,,,,,,,,,,,,,,
1,ああ！,"ああ, Oh!, Ah!",,,,,,,,,,,,,,,,,
1,あの！,"あの, er, umm, uh",,,,,,,,,,,,,,,,,
1,ある！,"ある, one . . .
to be (usu. of inanimate objects), to exist, to be located, to have, to possess, to take place",,,,,,,,,,,,,,,,,
1,あれ！,"あれ, that, that one",,,,,,,,,,,,,,,,,
1,いい。,"いい, good",,,,,,,,,,,,,,,,,
1,いつ！,"いつ, when",,,,,,,,,,,,,,,,,
1,いで！,"いで, TE FORM",,,,,,,,,,,,,,,,,
1,いる！,"いる, (a person) is in . . . ; stays at . . .",,,,,,,,,,,,,,,,,
1,うん！,"うん, uh-huh; yes",,,,,,,,,,,,,,,,,
1,ええ！,"ええ, yes, yeah",,,,,,,,,,,,,,,,,
1,おう！,"おう, VOLITIONAL",,,,,,,,,,,,,,,,,
2,お花。,"お, politeness/respect prefix","花, flower",,,,,,,,,,,,,,,,
2,お金！,"お, politeness/respect prefix","金, money",,,,,,,,,,,,,,,,
2,お空。,"お, politeness/respect prefix","空, the sky",,,,,,,,,,,,,,,,
2,お嫌！,"お, politeness/respect prefix","嫌, disagreeable, unpleasant, distasteful, offensive",,,,,,,,,,,,,,,,
2,お咲。,"お, politeness/respect prefix","咲, to bloom",,,,,,,,,,,,,,,,
2,お寺！,"お, politeness/respect prefix","寺, temple",,,,,,,,,,,,,,,,
2,お春。,"お, politeness/respect prefix","春, spring",,,,,,,,,,,,,,,,
2,お申？,"お, politeness/respect prefix","申, extra-modest expression for いう",,,,,,,,,,,,,,,,
2,お水！,"お, politeness/respect prefix","水, water",,,,,,,,,,,,,,,,
2,お雪！,"お, politeness/respect prefix","雪, snow",,,,,,,,,,,,,,,,
2,お茶！,"お, politeness/respect prefix","茶, green tea",,,,,,,,,,,,,,,,
2,お町！,"お, politeness/respect prefix","町, (1) town (2) street/road",,,,,,,,,,,,,,,,
2,お頭！,"お, politeness/respect prefix","頭, head, brains",,,,,,,,,,,,,,,,
2,お話！,"お, politeness/respect prefix","話, talk/speech/chat/story/conversation
To speak",,,,,,,,,,,,,,,,
1,かけ！,"かけ, to iron (clothes)
to lock
to have one’s hair permed
to sit down
wear glasses
make a phone call",,,,,,,,,,,,,,,,,
2,が今。,"が, Subject particle
. . . , but","今, now, at present, just now, soon",,,,,,,,,,,,,,,,
1,くれ！,"くれ, to give (me)",,,,,,,,,,,,,,,,,
1,こう！,"こう, VOLITIONAL",,,,,,,,,,,,,,,,,
1,ここ！,"ここ, here",,,,,,,,,,,,,,,,,
1,この！,"この, this",,,,,,,,,,,,,,,,,
1,これ！,"これ, this",,,,,,,,,,,,,,,,,
1,ころ。,"ころ, time of . . . ; when . . .",,,,,,,,,,,,,,,,,
1,ご飯？,"ご飯, rice; meal",,,,,,,,,,,,,,,,,
1,さあ！,"さあ, I am not sure . . .",,,,,,,,,,,,,,,,,
2,さよ！,"さ, to raise (stretch out) hands, to raise umbrella","よ, You know?",,,,,,,,,,,,,,,,
1,じゃ。,"じゃ, well, well then",,,,,,,,,,,,,,,,,
2,すが。,"す, to do, to try
thin out (hair)
","が, Subject particle
. . . , but",,,,,,,,,,,,,,,,
1,すぐ！,"すぐ, right away",,,,,,,,,,,,,,,,,
1,する？,"する, to do, to try",,,,,,,,,,,,,,,,,
1,そう！,"そう, (I think) so
Volitional (verb conjugation)",,,,,,,,,,,,,,,,,
1,そこ！,"そこ, there",,,,,,,,,,,,,,,,,
1,それ！,"それ, that one",,,,,,,,,,,,,,,,,
1,ただ。,"ただ, free of charge",,,,,,,,,,,,,,,,,
2,たは！,"た, PAST","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
1,だめ！,"だめ, no good",,,,,,,,,,,,,,,,,
1,だれ？,"だれ, who",,,,,,,,,,,,,,,,,
1,って。,"って, TE FORM",,,,,,,,,,,,,,,,,
1,です。,"です, I am . . . .",,,,,,,,,,,,,,,,,
2,でね！,"で, Movement: at place, by way of
by (means of transportation); with (a tool)","ね, Right?",,,,,,,,,,,,,,,,
2,では。,"で, Movement: at place, by way of
by (means of transportation); with (a tool)","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
2,でも。,"で, Movement: at place, by way of
by (means of transportation); with (a tool)","も, As well",,,,,,,,,,,,,,,,
1,どう！,"どう, how",,,,,,,,,,,,,,,,,
2,とか。,"と, And
together with (a person)
to take off","か, Question particle
or",,,,,,,,,,,,,,,,
1,どこ！,"どこ, where, what place",,,,,,,,,,,,,,,,,
2,とさ。,"と, And
together with (a person)
to take off","さ, to raise (stretch out) hands, to raise umbrella",,,,,,,,,,,,,,,,
2,とね！,"と, And
together with (a person)
to take off","ね, Right?",,,,,,,,,,,,,,,,
2,とは。,"と, And
together with (a person)
to take off","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
2,とよ！,"と, And
together with (a person)
to take off","よ, You know?",,,,,,,,,,,,,,,,
1,どれ！,"どれ, well, now, let me see, which (3 or more)",,,,,,,,,,,,,,,,,
1,ない！,"ない, there isn't, doesn't have",,,,,,,,,,,,,,,,,
1,なぜ！,"なぜ, why",,,,,,,,,,,,,,,,,
1,など。,"など, et cetera",,,,,,,,,,,,,,,,,
1,なる？,"なる, to become",,,,,,,,,,,,,,,,,
1,ねる。,"ねる, POTENTIAL FORM",,,,,,,,,,,,,,,,,
2,ね君。,"ね, Right?","君, Mr./Ms. . . . (casual)",,,,,,,,,,,,,,,,
1,のう！,"のう, VOLITIONAL",,,,,,,,,,,,,,,,,
2,の話。,"の, Possession particle","話, talk/speech/chat/story/conversation
To speak",,,,,,,,,,,,,,,,
1,はい！,"はい, yes",,,,,,,,,,,,,,,,,
1,パン！,"パン, bread/panning",,,,,,,,,,,,,,,,,
2,へへ！,"へ, Movement: toward, to","へ, Movement: toward, to",,,,,,,,,,,,,,,,
1,ほう！,"ほう, divide",,,,,,,,,,,,,,,,,
1,まず！,"まず, first of all",,,,,,,,,,,,,,,,,
1,また！,"また, again/and",,,,,,,,,,,,,,,,,
1,まだ！,"まだ, yet/still/more/besides",,,,,,,,,,,,,,,,,
1,もう！,"もう, already
Volitional (verb conjugation)",,,,,,,,,,,,,,,,,
1,やめ。,"やめ, to quit",,,,,,,,,,,,,,,,,
2,やよ。,"や, And
to do/to have sexual intercourse/to kill/to give (to inferiors, animals, etc.)/to dispatch (a letter)/to send/to study/to perform/to play (sports, game)/to have (eat, drink, smoke)/to row (a boat)/to run or operate (a restaurant)","よ, You know?",,,,,,,,,,,,,,,,
1,やる！,"やる, to do/to have sexual intercourse/to kill/to give (to inferiors, animals, etc.)/to dispatch (a letter)/to send/to study/to perform/to play (sports, game)/to have (eat, drink, smoke)/to row (a boat)/to run or operate (a restaurant)",,,,,,,,,,,,,,,,,
1,よう！,"よう, VOLITIONAL",,,,,,,,,,,,,,,,,
1,よく！,"よく, well",,,,,,,,,,,,,,,,,
2,愛か？,"愛, to love","か, Question particle
or",,,,,,,,,,,,,,,,
2,愛を？,"愛, to love","を, Direct object particle",,,,,,,,,,,,,,,,
1,悪い！,"悪い, bad/inferior",,,,,,,,,,,,,,,,,
1,暗い！,"暗い, dark, gloomy",,,,,,,,,,,,,,,,,
1,以上！,"以上, . . . or more",,,,,,,,,,,,,,,,,
1,違う！,"違う, to differ (from)",,,,,,,,,,,,,,,,,
2,違ふ！,"違, to differ (from)","ふ, to turn down (somebody); to reject; to jilt",,,,,,,,,,,,,,,,
1,医者！,"医者, doctor, physician, surgeon",,,,,,,,,,,,,,,,,
2,一音。,"一, one","音, sound",,,,,,,,,,,,,,,,
2,一月。,"一, one","月, moon
month",,,,,,,,,,,,,,,,
1,一時。,"一時, one o’clock",,,,,,,,,,,,,,,,,
1,一人。,"一人, one person",,,,,,,,,,,,,,,,,
2,一台！,"一, one","台, [counter for equipment]",,,,,,,,,,,,,,,,
2,一度。,"一, one","度, . . . degrees (temperature)
counter for occurences",,,,,,,,,,,,,,,,
2,一日。,"一, one","日, day
day of month",,,,,,,,,,,,,,,,
2,一泊。,"一, one","泊, . . . nights",,,,,,,,,,,,,,,,
2,一分！,"一, one","分,  minutes",,,,,,,,,,,,,,,,
1,一方。,"一方, on the other hand",,,,,,,,,,,,,,,,,
2,一本。,"一, one","本, book
[counter for long objects]",,,,,,,,,,,,,,,,
2,一名。,"一, one","名, . . . person(s)",,,,,,,,,,,,,,,,
2,一六！,"一, one","六, six",,,,,,,,,,,,,,,,
1,引く。,"引く, minus/to pull/to play (stringed instr.)",,,,,,,,,,,,,,,,,
2,引切。,"引, minus/to pull/to play (stringed instr.)","切, to cut, to chop",,,,,,,,,,,,,,,,
1,飲む。,"飲む, to drink",,,,,,,,,,,,,,,,,
2,雨か。,"雨, rain","か, Question particle
or",,,,,,,,,,,,,,,,
2,運よ。,"運, to carry","よ, You know?",,,,,,,,,,,,,,,,
2,雲よ！,"雲, cloud","よ, You know?",,,,,,,,,,,,,,,,
1,映画。,"映画, movie, motion picture",,,,,,,,,,,,,,,,,
1,泳ぐ。,"泳ぐ, swim",,,,,,,,,,,,,,,,,
2,猿に！,"猿, monkey","に, Movement: to, at
IN ORDER TO…(verb conjugation)",,,,,,,,,,,,,,,,
2,猿よ。,"猿, monkey","よ, You know?",,,,,,,,,,,,,,,,
1,遠い。,"遠い, far, distant",,,,,,,,,,,,,,,,,
1,汚い！,"汚い, dirty",,,,,,,,,,,,,,,,,
1,押す。,"押す, push; stamp, seal",,,,,,,,,,,,,,,,,
1,殴る。,"殴る, to strike; to hit; to punch",,,,,,,,,,,,,,,,,
1,温泉！,"温泉, spa; hot spring",,,,,,,,,,,,,,,,,
1,音楽。,"音楽, music",,,,,,,,,,,,,,,,,
2,下に。,"下, under, below, beneath","に, Movement: to, at
IN ORDER TO…(verb conjugation)",,,,,,,,,,,,,,,,
1,下痢。,"下痢, diarrhea",,,,,,,,,,,,,,,,,
2,何が！,"何, what","が, Subject particle
. . . , but",,,,,,,,,,,,,,,,
2,何か。,"何, what","か, Question particle
or",,,,,,,,,,,,,,,,
2,何さ！,"何, what","さ, to raise (stretch out) hands, to raise umbrella",,,,,,,,,,,,,,,,
2,何て？,"何, what","て, TE FORM",,,,,,,,,,,,,,,,
2,何で？,"何, what","で, Movement: at place, by way of
by (means of transportation); with (a tool)",,,,,,,,,,,,,,,,
2,何と！,"何, what","と, And
together with (a person)
to take off",,,,,,,,,,,,,,,,
2,何に？,"何, what","に, Movement: to, at
IN ORDER TO…(verb conjugation)",,,,,,,,,,,,,,,,
2,何の！,"何, what","の, Possession particle",,,,,,,,,,,,,,,,
2,何も。,"何, what","も, As well",,,,,,,,,,,,,,,,
2,何や！,"何, what","や, And
to do/to have sexual intercourse/to kill/to give (to inferiors, animals, etc.)/to dispatch (a letter)/to send/to study/to perform/to play (sports, game)/to have (eat, drink, smoke)/to row (a boat)/to run or operate (a restaurant)",,,,,,,,,,,,,,,,
2,何よ。,"何, what","よ, You know?",,,,,,,,,,,,,,,,
2,何を！,"何, what","を, Direct object particle",,,,,,,,,,,,,,,,
2,何時。,"何, what","時, when . . . ; at the time of . . .
o'clock",,,,,,,,,,,,,,,,
2,何日？,"何, what","日, day
day of month",,,,,,,,,,,,,,,,
2,何年？,"何, what","年, year",,,,,,,,,,,,,,,,
2,何匹？,"何, what","匹, [counter for smaller animals]",,,,,,,,,,,,,,,,
2,何本？,"何, what","本, book
[counter for long objects]",,,,,,,,,,,,,,,,
2,夏に？,"夏, summer","に, Movement: to, at
IN ORDER TO…(verb conjugation)",,,,,,,,,,,,,,,,
2,家さ。,"家, house, home, household, family","さ, to raise (stretch out) hands, to raise umbrella",,,,,,,,,,,,,,,,
2,家で。,"家, house, home, household, family","で, Movement: at place, by way of
by (means of transportation); with (a tool)",,,,,,,,,,,,,,,,
2,家を。,"家, house, home, household, family","を, Direct object particle",,,,,,,,,,,,,,,,
1,家具！,"家具, furniture",,,,,,,,,,,,,,,,,
1,家賃？,"家賃, rent",,,,,,,,,,,,,,,,,
1,果物。,"果物, fruit",,,,,,,,,,,,,,,,,
2,歌か。,"歌, a song, singing","か, Question particle
or",,,,,,,,,,,,,,,,
2,歌ふ。,"歌, a song, singing","ふ, to turn down (somebody); to reject; to jilt",,,,,,,,,,,,,,,,
2,歌へ。,"歌, a song, singing","へ, Movement: toward, to",,,,,,,,,,,,,,,,
1,火事！,"火事, fire",,,,,,,,,,,,,,,,,
2,花よ。,"花, flower","よ, You know?",,,,,,,,,,,,,,,,
1,荷物。,"荷物, luggage",,,,,,,,,,,,,,,,,
1,会う？,"会う, meet",,,,,,,,,,,,,,,,,
1,会議！,"会議, business meeting; conference",,,,,,,,,,,,,,,,,
1,会社？,"会社, corporation",,,,,,,,,,,,,,,,,
2,外で！,"外, outside, exterior","で, Movement: at place, by way of
by (means of transportation); with (a tool)",,,,,,,,,,,,,,,,
2,外へ！,"外, outside, exterior","へ, Movement: toward, to",,,,,,,,,,,,,,,,
1,学校。,"学校, school",,,,,,,,,,,,,,,,,
1,学生。,"学生, student",,,,,,,,,,,,,,,,,
1,楽し。,"楽し, to enjoy",,,,,,,,,,,,,,,,,
2,楽茶。,"楽, easy; comfortable","茶, green tea",,,,,,,,,,,,,,,,
1,乾杯！,"乾杯, Cheers! (a toast)",,,,,,,,,,,,,,,,,
1,寒い！,"寒い, cold (weather)",,,,,,,,,,,,,,,,,
1,甘い！,"甘い, sweet",,,,,,,,,,,,,,,,,
1,帰る。,"帰る, go back, return",,,,,,,,,,,,,,,,,
1,貴方！,"貴方, you, dear (what a wife calls a husband)",,,,,,,,,,,,,,,,,
1,休む。,"休む, to rest/to have a break/to take a day off/to be finished/to be absent/to retire/to sleep",,,,,,,,,,,,,,,,,
2,急に。,"急, to hurry","に, Movement: to, at
IN ORDER TO…(verb conjugation)",,,,,,,,,,,,,,,,
2,泣虫！,"泣, to cry","虫, insect",,,,,,,,,,,,,,,,
1,給料。,"給料, salary",,,,,,,,,,,,,,,,,
1,牛乳。,"牛乳, milk",,,,,,,,,,,,,,,,,
1,去年。,"去年, last year",,,,,,,,,,,,,,,,,
2,居た。,"居, be, exist, live, reside","た, PAST",,,,,,,,,,,,,,,,
1,居る？,"居る, be, exist, live, reside",,,,,,,,,,,,,,,,,
1,強い。,"強い, strong, powerful, mighty, potent",,,,,,,,,,,,,,,,,
1,狭い。,"狭い, narrow, confined, small",,,,,,,,,,,,,,,,,
2,胸が！,"胸, breast","が, Subject particle
. . . , but",,,,,,,,,,,,,,,,
2,胸一。,"胸, breast","一, one",,,,,,,,,,,,,,,,
1,近い。,"近い, near, close by, short",,,,,,,,,,,,,,,,,
2,金か？,"金, money","か, Question particle
or",,,,,,,,,,,,,,,,
2,金さ？,"金, money","さ, to raise (stretch out) hands, to raise umbrella",,,,,,,,,,,,,,,,
2,金は？,"金, money","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
2,金よ！,"金, money","よ, You know?",,,,,,,,,,,,,,,,
2,金を。,"金, money","を, Direct object particle",,,,,,,,,,,,,,,,
1,銀行？,"銀行, bank",,,,,,,,,,,,,,,,,
2,九月。,"九, nine","月, moon
month",,,,,,,,,,,,,,,,
2,九時。,"九, nine","時, when . . . ; at the time of . . .
o'clock",,,,,,,,,,,,,,,,
2,九日。,"九, nine","日, day
day of month",,,,,,,,,,,,,,,,
2,九番。,"九, nine","番, number ",,,,,,,,,,,,,,,,
2,九分！,"九, nine","分,  minutes",,,,,,,,,,,,,,,,
2,九枚。,"九, nine","枚, [counter for flat objects]",,,,,,,,,,,,,,,,
2,空も。,"空, the sky","も, As well",,,,,,,,,,,,,,,,
1,空手。,"空手, karate",,,,,,,,,,,,,,,,,
2,君か。,"君, Mr./Ms. . . . (casual)","か, Question particle
or",,,,,,,,,,,,,,,,
2,君が？,"君, Mr./Ms. . . . (casual)","が, Subject particle
. . . , but",,,,,,,,,,,,,,,,
2,君に。,"君, Mr./Ms. . . . (casual)","に, Movement: to, at
IN ORDER TO…(verb conjugation)",,,,,,,,,,,,,,,,
2,君は。,"君, Mr./Ms. . . . (casual)","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
2,君よ！,"君, Mr./Ms. . . . (casual)","よ, You know?",,,,,,,,,,,,,,,,
2,兄が！,"兄, elder brother","が, Subject particle
. . . , but",,,,,,,,,,,,,,,,
2,兄は？,"兄, elder brother","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
2,兄よ！,"兄, elder brother","よ, You know?",,,,,,,,,,,,,,,,
2,兄上！,"兄, elder brother","上, up, upward, above, top, higher, superior, older",,,,,,,,,,,,,,,,
1,兄弟！,"兄弟, siblings",,,,,,,,,,,,,,,,,
2,兄様！,"兄, elder brother","様, Mr./Ms. . . .",,,,,,,,,,,,,,,,
1,経済。,"経済, economics",,,,,,,,,,,,,,,,,
1,警察！,"警察, police; police station",,,,,,,,,,,,,,,,,
1,軽い。,"軽い, light",,,,,,,,,,,,,,,,,
1,芸術！,"芸術, art",,,,,,,,,,,,,,,,,
1,結構！,"結構, splendid, nice, well enough",,,,,,,,,,,,,,,,,
1,結婚！,"結婚, marriage",,,,,,,,,,,,,,,,,
2,月よ。,"月, moon
month","よ, You know?",,,,,,,,,,,,,,,,
1,健康。,"健康, health",,,,,,,,,,,,,,,,,
1,嫌い！,"嫌い, dislike, hate",,,,,,,,,,,,,,,,,
2,嫌ね。,"嫌, disagreeable, unpleasant, distasteful, offensive","ね, Right?",,,,,,,,,,,,,,,,
2,犬よ。,"犬, dog","よ, You know?",,,,,,,,,,,,,,,,
2,見た！,"見, to see/to watch","た, PAST",,,,,,,,,,,,,,,,
2,見て？,"見, to see/to watch","て, TE FORM",,,,,,,,,,,,,,,,
2,見よ！,"見, to see/to watch","よ, You know?",,,,,,,,,,,,,,,,
1,見る。,"見る, to see/to watch",,,,,,,,,,,,,,,,,
2,鍵は？,"鍵, lock; key","は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,
2,鍵や！,"鍵, lock; key","や, And
to do/to have sexual intercourse/to kill/to give (to inferiors, animals, etc.)/to dispatch (a letter)/to send/to study/to perform/to play (sports, game)/to have (eat, drink, smoke)/to row (a boat)/to run or operate (a restaurant)",,,,,,,,,,,,,,,,
1,元気。,"元気, health, spirit, energy",,,,,,,,,,,,,,,,,
1,言う。,"言う, to complain
to talk behind someone’s back
say, state, express, be said, be called, named",,,,,,,,,,,,,,,,,
2,言へ。,"言, to complain
to talk behind someone’s back
say, state, express, be said, be called, named","へ, Movement: toward, to",,,,,,,,,,,,,,,,
1,言葉。,"言葉, word, language, speech",,,,,,,,,,,,,,,,,
